Wave_num	Group	Assignment
415	lipids	Phosphatidylinositol
416	Unknown	Unknown
417	Unknown	Unknown
418	lipids	Cholesterol
419	Unknown	Unknown
420	Unknown	Unknown
421	Unknown	Unknown
422	Unknown	Unknown
423	Unknown	Unknown
424	Unknown	Unknown
425	Unknown	Unknown
426	Unknown	Unknown
427	Unknown	Unknown
428	others	Symmetric stretching vibration of дн2 PO43-(phosphate of HA)
429	lipids	"Cholesterol, cholesterol ester"
430	Unknown	Unknown
431	Unknown	Unknown
432	Unknown	Unknown
433	Unknown	Unknown
434	Unknown	Unknown
435	Unknown	Unknown
436	Unknown	Unknown
437	Unknown	Unknown
438	Unknown	Unknown
439	Unknown	Unknown
440	Unknown	Unknown
441	Unknown	Unknown
442	Unknown	Unknown
443	Unknown	Unknown
444	Unknown	Unknown
445	others	"N-C-S stretch (one of three thiocyanate peaks, with 2095 and 735 cm-1)"
446	Unknown	Unknown
447	Unknown	Unknown
448	Unknown	Unknown
449	Unknown	Unknown
450	Unknown	Unknown
451	Unknown	Unknown
452	Unknown	Unknown
453	Unknown	Unknown
454	Unknown	Unknown
455	Unknown	Unknown
456	Unknown	Unknown
457	Unknown	Unknown
458	Unknown	Unknown
459	Unknown	Unknown
460	Unknown	Unknown
461	Unknown	Unknown
462	Unknown	Unknown
463	Unknown	Unknown
464	Unknown	Unknown
465	Unknown	Unknown
466	Unknown	Unknown
467	Unknown	Unknown
468	Unknown	Unknown
469	Unknown	Unknown
470	Unknown	Unknown
471	Unknown	Unknown
472	Unknown	Unknown
473	Unknown	Unknown
474	Unknown	Unknown
475	Unknown	Unknown
476	Unknown	Unknown
477	carbohydrates	"Polysaccharides (amylase, amylopectin)"
478	carbohydrates	C-C-C deformation; C-O stretching
479	carbohydrates	C-C-C deformation
480	Unknown	Unknown
481	nucleic_acids	DNA
482	Unknown	Unknown
483	Unknown	Unknown
484	Unknown	Unknown
485	Unknown	Unknown
486	Unknown	Unknown
487	Unknown	Unknown
488	Unknown	Unknown
489	Unknown	Unknown
490	carbohydrates	Glycogen
491	Unknown	Unknown
492	Unknown	Unknown
493	Unknown	Unknown
494	Unknown	Unknown
495	Unknown	Unknown
496	Unknown	Unknown
497	Unknown	Unknown
498	Unknown	Unknown
499	Unknown	Unknown
500	Unknown	Unknown
501	Unknown	Unknown
502	Unknown	Unknown
503	Unknown	Unknown
504	Unknown	Unknown
505	Unknown	Unknown
506	Unknown	Unknown
507	Unknown	Unknown
508	Unknown	Unknown
509	proteins	S-S disulfide stretching band of collagen;дн(S-S) gauche-gauche-gauche (amino acid cysteine)
510	Unknown	Unknown
511	Unknown	Unknown
512	Unknown	Unknown
513	Unknown	Unknown
514	Unknown	Unknown
515	Unknown	Unknown
516	Unknown	Unknown
517	Unknown	Unknown
518	Unknown	Unknown
519	lipids	Phosphatidylinositol
520	Unknown	Unknown
521	Unknown	Unknown
522	Unknown	Unknown
523	Unknown	Unknown
524	proteins	S-S disulfide stretching in proteins;Phosphatidylserine
525	Unknown	Unknown
526	Unknown	Unknown
527	Unknown	Unknown
528	Unknown	Unknown
529	Unknown	Unknown
530	Unknown	Unknown
531	Unknown	Unknown
532	Unknown	Unknown
533	Unknown	Unknown
534	Unknown	Unknown
535	lipids;proteins	Cholesterol ester;дн(S-S) gauche-gauche-trans (amino acid cysteine)
536	Unknown	Unknown
537	Unknown	Unknown
538	lipids	Cholesterol ester
539	Unknown	Unknown
540	proteins	дн(S-S) trans-gauche-trans (amino acid cysteine)
541	Unknown	Unknown
542	Unknown	Unknown
543	Unknown	Unknown
544	Unknown	Unknown
545	Unknown	Unknown
546	Unknown	Unknown
547	Unknown	Unknown
548	lipids	Cholesterol
549	Unknown	Unknown
550	Unknown	Unknown
551	Unknown	Unknown
552	Unknown	Unknown
553	Unknown	Unknown
554	Unknown	Unknown
555	Unknown	Unknown
556	Unknown	Unknown
557	Unknown	Unknown
558	Unknown	Unknown
559	Unknown	Unknown
560	Unknown	Unknown
561	Unknown	Unknown
562	Unknown	Unknown
563	Unknown	Unknown
564	Unknown	Unknown
565	Unknown	Unknown
566	Unknown	Unknown
567	Unknown	Unknown
568	Unknown	Unknown
569	Unknown	Unknown
570	Unknown	Unknown
571	Unknown	Unknown
572	Unknown	Unknown
573	proteins;nucleic_acids	"Tryptophan/cytosine, guanine"
574	Unknown	Unknown
575	Unknown	Unknown
576	lipids	Phosphatidylinositol
577	Unknown	Unknown
578	Unknown	Unknown
579	Unknown	Unknown
580	Unknown	Unknown
581	Unknown	Unknown
582	Unknown	Unknown
583	Unknown	Unknown
584	Unknown	Unknown
585	Unknown	Unknown
586	Unknown	Unknown
587	Unknown	Unknown
588	Unknown	Unknown
589	lipids;others	Symmetric stretching vibration of дн4 PO43-(phosphate of HA);Glycerol
590	Unknown	Unknown
591	Unknown	Unknown
592	Unknown	Unknown
593	Unknown	Unknown
594	Unknown	Unknown
595	Unknown	Unknown
596	lipids	Phosphatidylinositol
597	Unknown	Unknown
598	Unknown	Unknown
599	Unknown	Unknown
600	Unknown	Unknown
601	Unknown	Unknown
602	Unknown	Unknown
603	Unknown	Unknown
604	Unknown	Unknown
605	Unknown	Unknown
606	Unknown	Unknown
607	lipids	Glycerol
608	lipids	Cholesterol
609	Unknown	Unknown
610	Unknown	Unknown
611	Unknown	Unknown
612	Unknown	Unknown
613	Unknown	Unknown
614	lipids	Cholesterol ester
615	Unknown	Unknown
616	Unknown	Unknown
617	Unknown	Unknown
618	proteins	C-C twisting (protein)
619	Unknown	Unknown
620	others	C-C twist aromatic ring (one of CC vibrations to be expected in aromatic structure of xylene)
621	proteins	C-C twisting mode of phenylalanine (proteins)
622	Unknown	Unknown
623	Unknown	Unknown
624	Unknown	Unknown
625	Unknown	Unknown
626	Unknown	Unknown
627	Unknown	Unknown
628	Unknown	Unknown
629	Unknown	Unknown
630	lipids	Glycerol
631	Unknown	Unknown
632	Unknown	Unknown
633	Unknown	Unknown
634	Unknown	Unknown
635	Unknown	Unknown
636	Unknown	Unknown
637	Unknown	Unknown
638	Unknown	Unknown
639	proteins	Tyrosine ring breathing
640	proteins	C-S stretching and C-C twisting of proteins; tyrosine
641	Unknown	Unknown
642	Unknown	Unknown
643	proteins	C-C twisting mode of tyrosine
644	Unknown	Unknown
645	proteins	C-C twisting mode of phenylalanine (proteins)
646	proteins	C-C twisting mode of tyrosine
647	Unknown	Unknown
648	Unknown	Unknown
649	Unknown	Unknown
650	Unknown	Unknown
651	Unknown	Unknown
652	Unknown	Unknown
653	Unknown	Unknown
654	Unknown	Unknown
655	Unknown	Unknown
656	Unknown	Unknown
657	Unknown	Unknown
658	Unknown	Unknown
659	Unknown	Unknown
660	Unknown	Unknown
661	Unknown	Unknown
662	proteins	C-S stretching mode of cystine (collagen type I)
663	Unknown	Unknown
664	Unknown	Unknown
665	Unknown	Unknown
666	nucleic_acids	"G, T (ring breathing modes in the DNA bases); tyrosine-G backbone in RNA"
